commercial_area_code,commercial_area_name,business_type,day_of_week,quarter_count,total_transactions,weekday_transactions,weekday_days,weekday_daily_average,weekly_daily_average,day_index,day_weight
3001491,이태원 관광특구,KOREAN_FOOD,MONDAY,12,3356052,356343,157,2269.7006,3063.2104,74.1,-5
3001491,이태원 관광특구,KOREAN_FOOD,TUESDAY,12,3356052,329898,157,2101.2611,3063.2104,68.6,-6
3001491,이태원 관광특구,KOREAN_FOOD,WEDNESDAY,12,3356052,363585,157,2315.828,3063.2104,75.6,-5
3001491,이태원 관광특구,KOREAN_FOOD,THURSDAY,12,3356052,368447,156,2361.8397,3063.2104,77.1,-5
3001491,이태원 관광특구,KOREAN_FOOD,FRIDAY,12,3356052,481367,156,3085.6859,3063.2104,100.73,0
3001491,이태원 관광특구,KOREAN_FOOD,SATURDAY,12,3356052,775120,156,4968.7179,3063.2104,162.21,6
3001491,이태원 관광특구,KOREAN_FOOD,SUNDAY,12,3356052,681292,157,4339.4395,3063.2104,141.66,6
3001491,이태원 관광특구,CHINESE_FOOD,MONDAY,12,505013,35721,157,227.5223,461.0046,49.35,-6
3001491,이태원 관광특구,CHINESE_FOOD,TUESDAY,12,505013,76132,157,484.9172,461.0046,105.19,1
3001491,이태원 관광특구,CHINESE_FOOD,WEDNESDAY,12,505013,76542,157,487.5287,461.0046,105.75,1
3001491,이태원 관광특구,CHINESE_FOOD,THURSDAY,12,505013,77963,156,499.7628,461.0046,108.41,2
3001491,이태원 관광특구,CHINESE_FOOD,FRIDAY,12,505013,92064,156,590.1538,461.0046,128.01,6
3001491,이태원 관광특구,CHINESE_FOOD,SATURDAY,12,505013,84410,156,541.0897,461.0046,117.37,3
3001491,이태원 관광특구,CHINESE_FOOD,SUNDAY,12,505013,62181,157,396.0573,461.0046,85.91,-3
3001491,이태원 관광특구,JAPANESE_FOOD,MONDAY,12,135349,11344,157,72.2548,123.576,58.47,-6
3001491,이태원 관광특구,JAPANESE_FOOD,TUESDAY,12,135349,15514,157,98.8153,123.576,79.96,-4
3001491,이태원 관광특구,JAPANESE_FOOD,WEDNESDAY,12,135349,18069,157,115.0892,123.576,93.13,-1
3001491,이태원 관광특구,JAPANESE_FOOD,THURSDAY,12,135349,18260,156,117.0513,123.576,94.72,-1
