commercial_area_code,commercial_area_name,business_type,time_band,quarter_count,total_transactions,band_transactions,band_hours,observed_days,hourly_average,overall_hourly_average,time_index,demand_level
3001491,이태원 관광특구,KOREAN_FOOD,TIME_00_06,12,3356052,741377,6,1096,112.7398,127.5871,88.36,MEDIUM
3001491,이태원 관광특구,KOREAN_FOOD,TIME_06_11,12,3356052,157361,5,1096,28.7155,127.5871,22.51,LOW
3001491,이태원 관광특구,KOREAN_FOOD,TIME_11_14,12,3356052,709308,3,1096,215.7263,127.5871,169.08,HIGH
3001491,이태원 관광특구,KOREAN_FOOD,TIME_14_17,12,3356052,346830,3,1096,105.4836,127.5871,82.68,MEDIUM
3001491,이태원 관광특구,KOREAN_FOOD,TIME_17_21,12,3356052,843511,4,1096,192.4067,127.5871,150.8,HIGH
3001491,이태원 관광특구,KOREAN_FOOD,TIME_21_24,12,3356052,557665,3,1096,169.6061,127.5871,132.93,HIGH
3001491,이태원 관광특구,CHINESE_FOOD,TIME_00_06,12,505013,3890,6,1096,0.5915,19.1991,3.08,CLOSED
3001491,이태원 관광특구,CHINESE_FOOD,TIME_06_11,12,505013,42,5,1096,0.0077,19.1991,0.04,CLOSED
3001491,이태원 관광특구,CHINESE_FOOD,TIME_11_14,12,505013,185244,3,1096,56.3394,19.1991,293.45,VERY_HIGH
3001491,이태원 관광특구,CHINESE_FOOD,TIME_14_17,12,505013,47072,3,1096,14.3163,19.1991,74.57,MEDIUM
3001491,이태원 관광특구,CHINESE_FOOD,TIME_17_21,12,505013,205631,4,1096,46.9049,19.1991,244.31,VERY_HIGH
3001491,이태원 관광특구,CHINESE_FOOD,TIME_21_24,12,505013,63134,3,1096,19.2013,19.1991,100.01,MEDIUM
3001491,이태원 관광특구,JAPANESE_FOOD,TIME_00_06,12,135349,15125,6,1096,2.3,5.1456,44.7,LOW
3001491,이태원 관광특구,JAPANESE_FOOD,TIME_06_11,12,135349,436,5,1096,0.0796,5.1456,1.55,CLOSED
3001491,이태원 관광특구,JAPANESE_FOOD,TIME_11_14,12,135349,33704,3,1096,10.2506,5.1456,199.21,HIGH
3001491,이태원 관광특구,JAPANESE_FOOD,TIME_14_17,12,135349,9516,3,1096,2.8942,5.1456,56.25,LOW
