commercial_area_code,business_type,time_band,demand_level
3001491,KOREAN_FOOD,TIME_00_06,MEDIUM
3001491,KOREAN_FOOD,TIME_06_11,LOW
3001491,KOREAN_FOOD,TIME_11_14,HIGH
3001491,KOREAN_FOOD,TIME_14_17,MEDIUM
3001491,KOREAN_FOOD,TIME_17_21,HIGH
3001491,KOREAN_FOOD,TIME_21_24,HIGH
3001491,CHINESE_FOOD,TIME_00_06,CLOSED
3001491,CHINESE_FOOD,TIME_06_11,CLOSED
3001491,CHINESE_FOOD,TIME_11_14,VERY_HIGH
3001491,CHINESE_FOOD,TIME_14_17,MEDIUM
3001491,CHINESE_FOOD,TIME_17_21,VERY_HIGH
3001491,CHINESE_FOOD,TIME_21_24,MEDIUM
3001491,JAPANESE_FOOD,TIME_00_06,LOW
3001491,JAPANESE_FOOD,TIME_06_11,CLOSED
3001491,JAPANESE_FOOD,TIME_11_14,HIGH
3001491,JAPANESE_FOOD,TIME_14_17,LOW
3001491,JAPANESE_FOOD,TIME_17_21,HIGH
3001491,JAPANESE_FOOD,TIME_21_24,HIGH
3001491,WESTERN_FOOD,TIME_00_06,MEDIUM
3001491,WESTERN_FOOD,TIME_06_11,CLOSED
3001491,WESTERN_FOOD,TIME_11_14,MEDIUM
3001491,WESTERN_FOOD,TIME_14_17,MEDIUM
3001491,WESTERN_FOOD,TIME_17_21,HIGH
3001491,WESTERN_FOOD,TIME_21_24,HIGH
3001491,FAST_FOOD,TIME_00_06,MEDIUM
3001491,FAST_FOOD,TIME_06_11,LOW
3001491,FAST_FOOD,TIME_11_14,MEDIUM
3001491,FAST_FOOD,TIME_14_17,MEDIUM
3001491,FAST_FOOD,TIME_17_21,HIGH
3001491,FAST_FOOD,TIME_21_24,MEDIUM
3001491,BUNSIK,TIME_00_06,LOW
3001491,BUNSIK,TIME_06_11,CLOSED
3001491,BUNSIK,TIME_11_14,MEDIUM
3001491,BUNSIK,TIME_14_17,HIGH
3001491,BUNSIK,TIME_17_21,VERY_HIGH
3001491,BUNSIK,TIME_21_24,HIGH
3001491,CAFE_BEVERAGE,TIME_00_06,CLOSED
3001491,CAFE_BEVERAGE,TIME_06_11,LOW
3001491,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3001491,CAFE_BEVERAGE,TIME_14_17,VERY_HIGH
3001491,CAFE_BEVERAGE,TIME_17_21,HIGH
3001491,CAFE_BEVERAGE,TIME_21_24,LOW
3001491,BAKERY,TIME_00_06,LOW
3001491,BAKERY,TIME_06_11,LOW
3001491,BAKERY,TIME_11_14,HIGH
3001491,BAKERY,TIME_14_17,HIGH
3001491,BAKERY,TIME_17_21,HIGH
3001491,BAKERY,TIME_21_24,MEDIUM
3001492,KOREAN_FOOD,TIME_00_06,CLOSED
3001492,KOREAN_FOOD,TIME_06_11,LOW
3001492,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3001492,KOREAN_FOOD,TIME_14_17,MEDIUM
3001492,KOREAN_FOOD,TIME_17_21,HIGH
3001492,KOREAN_FOOD,TIME_21_24,LOW
3001492,CHINESE_FOOD,TIME_00_06,CLOSED
3001492,CHINESE_FOOD,TIME_06_11,CLOSED
3001492,CHINESE_FOOD,TIME_11_14,VERY_HIGH
3001492,CHINESE_FOOD,TIME_14_17,MEDIUM
3001492,CHINESE_FOOD,TIME_17_21,HIGH
3001492,CHINESE_FOOD,TIME_21_24,LOW
3001492,JAPANESE_FOOD,TIME_00_06,CLOSED
3001492,JAPANESE_FOOD,TIME_06_11,CLOSED
3001492,JAPANESE_FOOD,TIME_11_14,VERY_HIGH
3001492,JAPANESE_FOOD,TIME_14_17,LOW
3001492,JAPANESE_FOOD,TIME_17_21,HIGH
3001492,JAPANESE_FOOD,TIME_21_24,LOW
3001492,WESTERN_FOOD,TIME_00_06,CLOSED
3001492,WESTERN_FOOD,TIME_06_11,CLOSED
3001492,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3001492,WESTERN_FOOD,TIME_14_17,MEDIUM
3001492,WESTERN_FOOD,TIME_17_21,VERY_HIGH
3001492,WESTERN_FOOD,TIME_21_24,LOW
3001492,CHICKEN,TIME_00_06,LOW
3001492,CHICKEN,TIME_06_11,LOW
3001492,CHICKEN,TIME_11_14,MEDIUM
3001492,CHICKEN,TIME_14_17,LOW
3001492,CHICKEN,TIME_17_21,HIGH
3001492,CHICKEN,TIME_21_24,VERY_HIGH
3001492,FAST_FOOD,TIME_00_06,CLOSED
3001492,FAST_FOOD,TIME_06_11,MEDIUM
3001492,FAST_FOOD,TIME_11_14,VERY_HIGH
3001492,FAST_FOOD,TIME_14_17,HIGH
3001492,FAST_FOOD,TIME_17_21,MEDIUM
3001492,FAST_FOOD,TIME_21_24,LOW
3001492,BUNSIK,TIME_00_06,CLOSED
3001492,BUNSIK,TIME_06_11,MEDIUM
3001492,BUNSIK,TIME_11_14,VERY_HIGH
3001492,BUNSIK,TIME_14_17,MEDIUM
3001492,BUNSIK,TIME_17_21,MEDIUM
3001492,BUNSIK,TIME_21_24,LOW
3001492,CAFE_BEVERAGE,TIME_00_06,CLOSED
3001492,CAFE_BEVERAGE,TIME_06_11,HIGH
3001492,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3001492,CAFE_BEVERAGE,TIME_14_17,HIGH
3001492,CAFE_BEVERAGE,TIME_17_21,LOW
3001492,CAFE_BEVERAGE,TIME_21_24,LOW
3001492,BAKERY,TIME_00_06,CLOSED
3001492,BAKERY,TIME_06_11,HIGH
3001492,BAKERY,TIME_11_14,VERY_HIGH
3001492,BAKERY,TIME_14_17,MEDIUM
3001492,BAKERY,TIME_17_21,MEDIUM
3001492,BAKERY,TIME_21_24,LOW
3001493,KOREAN_FOOD,TIME_00_06,LOW
3001493,KOREAN_FOOD,TIME_06_11,LOW
3001493,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3001493,KOREAN_FOOD,TIME_14_17,MEDIUM
3001493,KOREAN_FOOD,TIME_17_21,HIGH
3001493,KOREAN_FOOD,TIME_21_24,MEDIUM
3001493,CHINESE_FOOD,TIME_00_06,MEDIUM
3001493,CHINESE_FOOD,TIME_06_11,LOW
3001493,CHINESE_FOOD,TIME_11_14,HIGH
3001493,CHINESE_FOOD,TIME_14_17,MEDIUM
3001493,CHINESE_FOOD,TIME_17_21,MEDIUM
3001493,CHINESE_FOOD,TIME_21_24,MEDIUM
3001493,JAPANESE_FOOD,TIME_00_06,CLOSED
3001493,JAPANESE_FOOD,TIME_06_11,CLOSED
3001493,JAPANESE_FOOD,TIME_11_14,VERY_HIGH
3001493,JAPANESE_FOOD,TIME_14_17,HIGH
3001493,JAPANESE_FOOD,TIME_17_21,VERY_HIGH
3001493,JAPANESE_FOOD,TIME_21_24,CLOSED
3001493,WESTERN_FOOD,TIME_00_06,CLOSED
3001493,WESTERN_FOOD,TIME_06_11,CLOSED
3001493,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3001493,WESTERN_FOOD,TIME_14_17,HIGH
3001493,WESTERN_FOOD,TIME_17_21,VERY_HIGH
3001493,WESTERN_FOOD,TIME_21_24,LOW
3001493,CHICKEN,TIME_00_06,LOW
3001493,CHICKEN,TIME_06_11,CLOSED
3001493,CHICKEN,TIME_11_14,CLOSED
3001493,CHICKEN,TIME_14_17,LOW
3001493,CHICKEN,TIME_17_21,VERY_HIGH
3001493,CHICKEN,TIME_21_24,VERY_HIGH
3001493,FAST_FOOD,TIME_00_06,LOW
3001493,FAST_FOOD,TIME_06_11,LOW
3001493,FAST_FOOD,TIME_11_14,HIGH
3001493,FAST_FOOD,TIME_14_17,HIGH
3001493,FAST_FOOD,TIME_17_21,HIGH
3001493,FAST_FOOD,TIME_21_24,MEDIUM
3001493,BUNSIK,TIME_00_06,LOW
3001493,BUNSIK,TIME_06_11,MEDIUM
3001493,BUNSIK,TIME_11_14,HIGH
3001493,BUNSIK,TIME_14_17,HIGH
3001493,BUNSIK,TIME_17_21,HIGH
3001493,BUNSIK,TIME_21_24,LOW
3001493,CAFE_BEVERAGE,TIME_00_06,LOW
3001493,CAFE_BEVERAGE,TIME_06_11,MEDIUM
3001493,CAFE_BEVERAGE,TIME_11_14,HIGH
3001493,CAFE_BEVERAGE,TIME_14_17,HIGH
3001493,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3001493,CAFE_BEVERAGE,TIME_21_24,MEDIUM
3001493,BAKERY,TIME_00_06,CLOSED
3001493,BAKERY,TIME_06_11,HIGH
3001493,BAKERY,TIME_11_14,VERY_HIGH
3001493,BAKERY,TIME_14_17,HIGH
3001493,BAKERY,TIME_17_21,MEDIUM
3001493,BAKERY,TIME_21_24,LOW
3001494,KOREAN_FOOD,TIME_00_06,CLOSED
3001494,KOREAN_FOOD,TIME_06_11,CLOSED
3001494,KOREAN_FOOD,TIME_11_14,VERY_HIGH
3001494,KOREAN_FOOD,TIME_14_17,MEDIUM
3001494,KOREAN_FOOD,TIME_17_21,HIGH
3001494,KOREAN_FOOD,TIME_21_24,MEDIUM
3001494,CHINESE_FOOD,TIME_00_06,CLOSED
3001494,CHINESE_FOOD,TIME_06_11,CLOSED
3001494,CHINESE_FOOD,TIME_11_14,VERY_HIGH
3001494,CHINESE_FOOD,TIME_14_17,MEDIUM
3001494,CHINESE_FOOD,TIME_17_21,HIGH
3001494,CHINESE_FOOD,TIME_21_24,LOW
3001494,JAPANESE_FOOD,TIME_00_06,CLOSED
3001494,JAPANESE_FOOD,TIME_06_11,CLOSED
3001494,JAPANESE_FOOD,TIME_11_14,VERY_HIGH
3001494,JAPANESE_FOOD,TIME_14_17,LOW
3001494,JAPANESE_FOOD,TIME_17_21,HIGH
3001494,JAPANESE_FOOD,TIME_21_24,MEDIUM
3001494,WESTERN_FOOD,TIME_00_06,CLOSED
3001494,WESTERN_FOOD,TIME_06_11,CLOSED
3001494,WESTERN_FOOD,TIME_11_14,VERY_HIGH
3001494,WESTERN_FOOD,TIME_14_17,MEDIUM
3001494,WESTERN_FOOD,TIME_17_21,HIGH
3001494,WESTERN_FOOD,TIME_21_24,MEDIUM
3001494,CHICKEN,TIME_00_06,LOW
3001494,CHICKEN,TIME_06_11,LOW
3001494,CHICKEN,TIME_11_14,LOW
3001494,CHICKEN,TIME_14_17,LOW
3001494,CHICKEN,TIME_17_21,VERY_HIGH
3001494,CHICKEN,TIME_21_24,VERY_HIGH
3001494,FAST_FOOD,TIME_00_06,CLOSED
3001494,FAST_FOOD,TIME_06_11,LOW
3001494,FAST_FOOD,TIME_11_14,VERY_HIGH
3001494,FAST_FOOD,TIME_14_17,HIGH
3001494,FAST_FOOD,TIME_17_21,HIGH
3001494,FAST_FOOD,TIME_21_24,LOW
3001494,BUNSIK,TIME_00_06,CLOSED
3001494,BUNSIK,TIME_06_11,LOW
3001494,BUNSIK,TIME_11_14,VERY_HIGH
3001494,BUNSIK,TIME_14_17,HIGH
3001494,BUNSIK,TIME_17_21,HIGH
3001494,BUNSIK,TIME_21_24,LOW
3001494,CAFE_BEVERAGE,TIME_00_06,CLOSED
3001494,CAFE_BEVERAGE,TIME_06_11,MEDIUM
3001494,CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
3001494,CAFE_BEVERAGE,TIME_14_17,HIGH
3001494,CAFE_BEVERAGE,TIME_17_21,MEDIUM
3001494,CAFE_BEVERAGE,TIME_21_24,LOW
3001494,BAKERY,TIME_00_06,CLOSED
3001494,BAKERY,TIME_06_11,MEDIUM
3001494,BAKERY,TIME_11_14,HIGH
3001494,BAKERY,TIME_14_17,HIGH
3001494,BAKERY,TIME_17_21,HIGH
3001494,BAKERY,TIME_21_24,MEDIUM
3001495,KOREAN_FOOD,TIME_00_06,LOW
3001495,KOREAN_FOOD,TIME_06_11,LOW
3001495,KOREAN_FOOD,TIME_11_14,HIGH
3001495,KOREAN_FOOD,TIME_14_17,MEDIUM
3001495,KOREAN_FOOD,TIME_17_21,HIGH
3001495,KOREAN_FOOD,TIME_21_24,HIGH
3001495,CHINESE_FOOD,TIME_00_06,CLOSED
3001495,CHINESE_FOOD,TIME_06_11,CLOSED
3001495,CHINESE_FOOD,TIME_11_14,VERY_HIGH
3001495,CHINESE_FOOD,TIME_14_17,HIGH
3001495,CHINESE_FOOD,TIME_17_21,HIGH
3001495,CHINESE_FOOD,TIME_21_24,LOW
3001495,JAPANESE_FOOD,TIME_00_06,LOW
3001495,JAPANESE_FOOD,TIME_06_11,CLOSED
