business_type,day_of_week,weight
KOREAN_FOOD,MONDAY,0
KOREAN_FOOD,TUESDAY,1
KOREAN_FOOD,WEDNESDAY,2
KOREAN_FOOD,THURSDAY,2
KOREAN_FOOD,FRIDAY,3
KOREAN_FOOD,SATURDAY,-2
KOREAN_FOOD,SUNDAY,-6
CHINESE_FOOD,MONDAY,-1
CHINESE_FOOD,TUESDAY,1
CHINESE_FOOD,WEDNESDAY,2
CHINESE_FOOD,THURSDAY,2
CHINESE_FOOD,FRIDAY,3
CHINESE_FOOD,SATURDAY,-2
CHINESE_FOOD,SUNDAY,-5
JAPANESE_FOOD,MONDAY,0
JAPANESE_FOOD,TUESDAY,2
JAPANESE_FOOD,WEDNESDAY,2
JAPANESE_FOOD,THURSDAY,3
JAPANESE_FOOD,FRIDAY,4
JAPANESE_FOOD,SATURDAY,-3
JAPANESE_FOOD,SUNDAY,-6
WESTERN_FOOD,MONDAY,-3
WESTERN_FOOD,TUESDAY,-1
WESTERN_FOOD,WEDNESDAY,0
WESTERN_FOOD,THURSDAY,0
WESTERN_FOOD,FRIDAY,2
WESTERN_FOOD,SATURDAY,4
WESTERN_FOOD,SUNDAY,-1
CHICKEN,MONDAY,-3
CHICKEN,TUESDAY,-1
CHICKEN,WEDNESDAY,0
CHICKEN,THURSDAY,1
CHICKEN,FRIDAY,4
CHICKEN,SATURDAY,2
CHICKEN,SUNDAY,-3
FAST_FOOD,MONDAY,-1
FAST_FOOD,TUESDAY,-1
FAST_FOOD,WEDNESDAY,0
FAST_FOOD,THURSDAY,0
FAST_FOOD,FRIDAY,1
FAST_FOOD,SATURDAY,1
FAST_FOOD,SUNDAY,-1
BUNSIK,MONDAY,0
BUNSIK,TUESDAY,1
BUNSIK,WEDNESDAY,1
BUNSIK,THURSDAY,2
BUNSIK,FRIDAY,2
BUNSIK,SATURDAY,-1
BUNSIK,SUNDAY,-6
CAFE_BEVERAGE,MONDAY,0
CAFE_BEVERAGE,TUESDAY,1
CAFE_BEVERAGE,WEDNESDAY,2
CAFE_BEVERAGE,THURSDAY,2
CAFE_BEVERAGE,FRIDAY,2
CAFE_BEVERAGE,SATURDAY,-2
CAFE_BEVERAGE,SUNDAY,-5
BAKERY,MONDAY,0
BAKERY,TUESDAY,0
BAKERY,WEDNESDAY,1
BAKERY,THURSDAY,1
BAKERY,FRIDAY,2
BAKERY,SATURDAY,0
BAKERY,SUNDAY,-4
