commercial_area_code,business_type,day_of_week,weight
3001491,KOREAN_FOOD,MONDAY,-5
3001491,KOREAN_FOOD,TUESDAY,-6
3001491,KOREAN_FOOD,WEDNESDAY,-5
3001491,KOREAN_FOOD,THURSDAY,-5
3001491,KOREAN_FOOD,FRIDAY,0
3001491,KOREAN_FOOD,SATURDAY,6
3001491,KOREAN_FOOD,SUNDAY,6
3001491,CHINESE_FOOD,MONDAY,-6
3001491,CHINESE_FOOD,TUESDAY,1
3001491,CHINESE_FOOD,WEDNESDAY,1
3001491,CHINESE_FOOD,THURSDAY,2
3001491,CHINESE_FOOD,FRIDAY,6
3001491,CHINESE_FOOD,SATURDAY,3
3001491,CHINESE_FOOD,SUNDAY,-3
3001491,JAPANESE_FOOD,MONDAY,-6
3001491,JAPANESE_FOOD,TUESDAY,-4
3001491,JAPANESE_FOOD,WEDNESDAY,-1
3001491,JAPANESE_FOOD,THURSDAY,-1
3001491,JAPANESE_FOOD,FRIDAY,5
3001491,JAPANESE_FOOD,SATURDAY,6
3001491,JAPANESE_FOOD,SUNDAY,-1
3001491,WESTERN_FOOD,MONDAY,-6
3001491,WESTERN_FOOD,TUESDAY,-6
3001491,WESTERN_FOOD,WEDNESDAY,-6
3001491,WESTERN_FOOD,THURSDAY,-6
3001491,WESTERN_FOOD,FRIDAY,1
3001491,WESTERN_FOOD,SATURDAY,6
3001491,WESTERN_FOOD,SUNDAY,6
3001491,FAST_FOOD,MONDAY,-5
3001491,FAST_FOOD,TUESDAY,-6
3001491,FAST_FOOD,WEDNESDAY,-5
3001491,FAST_FOOD,THURSDAY,-5
3001491,FAST_FOOD,FRIDAY,-1
3001491,FAST_FOOD,SATURDAY,6
3001491,FAST_FOOD,SUNDAY,6
3001491,BUNSIK,MONDAY,-6
3001491,BUNSIK,TUESDAY,-6
3001491,BUNSIK,WEDNESDAY,-5
3001491,BUNSIK,THURSDAY,-5
3001491,BUNSIK,FRIDAY,3
3001491,BUNSIK,SATURDAY,6
3001491,BUNSIK,SUNDAY,4
3001491,CAFE_BEVERAGE,MONDAY,-3
3001491,CAFE_BEVERAGE,TUESDAY,-2
3001491,CAFE_BEVERAGE,WEDNESDAY,-2
3001491,CAFE_BEVERAGE,THURSDAY,-1
3001491,CAFE_BEVERAGE,FRIDAY,1
3001491,CAFE_BEVERAGE,SATURDAY,6
3001491,CAFE_BEVERAGE,SUNDAY,1
3001491,BAKERY,MONDAY,-4
3001491,BAKERY,TUESDAY,-4
3001491,BAKERY,WEDNESDAY,-3
3001491,BAKERY,THURSDAY,-2
3001491,BAKERY,FRIDAY,1
3001491,BAKERY,SATURDAY,6
3001491,BAKERY,SUNDAY,4
3001492,KOREAN_FOOD,MONDAY,2
3001492,KOREAN_FOOD,TUESDAY,3
3001492,KOREAN_FOOD,WEDNESDAY,4
3001492,KOREAN_FOOD,THURSDAY,4
3001492,KOREAN_FOOD,FRIDAY,4
3001492,KOREAN_FOOD,SATURDAY,-6
3001492,KOREAN_FOOD,SUNDAY,-6
3001492,CHINESE_FOOD,MONDAY,1
3001492,CHINESE_FOOD,TUESDAY,3
3001492,CHINESE_FOOD,WEDNESDAY,4
3001492,CHINESE_FOOD,THURSDAY,5
3001492,CHINESE_FOOD,FRIDAY,5
3001492,CHINESE_FOOD,SATURDAY,-6
3001492,CHINESE_FOOD,SUNDAY,-6
3001492,JAPANESE_FOOD,MONDAY,2
3001492,JAPANESE_FOOD,TUESDAY,4
3001492,JAPANESE_FOOD,WEDNESDAY,5
3001492,JAPANESE_FOOD,THURSDAY,5
3001492,JAPANESE_FOOD,FRIDAY,5
3001492,JAPANESE_FOOD,SATURDAY,-6
3001492,JAPANESE_FOOD,SUNDAY,-6
3001492,WESTERN_FOOD,MONDAY,-5
3001492,WESTERN_FOOD,TUESDAY,1
3001492,WESTERN_FOOD,WEDNESDAY,4
3001492,WESTERN_FOOD,THURSDAY,2
3001492,WESTERN_FOOD,FRIDAY,2
3001492,WESTERN_FOOD,SATURDAY,-1
3001492,WESTERN_FOOD,SUNDAY,-2
3001492,CHICKEN,MONDAY,0
3001492,CHICKEN,TUESDAY,2
3001492,CHICKEN,WEDNESDAY,4
3001492,CHICKEN,THURSDAY,5
3001492,CHICKEN,FRIDAY,4
3001492,CHICKEN,SATURDAY,-5
3001492,CHICKEN,SUNDAY,-6
3001492,FAST_FOOD,MONDAY,2
3001492,FAST_FOOD,TUESDAY,3
3001492,FAST_FOOD,WEDNESDAY,4
3001492,FAST_FOOD,THURSDAY,4
3001492,FAST_FOOD,FRIDAY,4
3001492,FAST_FOOD,SATURDAY,-6
3001492,FAST_FOOD,SUNDAY,-6
3001492,BUNSIK,MONDAY,3
3001492,BUNSIK,TUESDAY,4
3001492,BUNSIK,WEDNESDAY,4
3001492,BUNSIK,THURSDAY,4
3001492,BUNSIK,FRIDAY,4
3001492,BUNSIK,SATURDAY,-6
3001492,BUNSIK,SUNDAY,-6
3001492,CAFE_BEVERAGE,MONDAY,3
3001492,CAFE_BEVERAGE,TUESDAY,4
3001492,CAFE_BEVERAGE,WEDNESDAY,4
3001492,CAFE_BEVERAGE,THURSDAY,4
3001492,CAFE_BEVERAGE,FRIDAY,5
3001492,CAFE_BEVERAGE,SATURDAY,-6
3001492,CAFE_BEVERAGE,SUNDAY,-6
3001492,BAKERY,MONDAY,2
3001492,BAKERY,TUESDAY,4
3001492,BAKERY,WEDNESDAY,5
3001492,BAKERY,THURSDAY,4
3001492,BAKERY,FRIDAY,5
3001492,BAKERY,SATURDAY,-6
3001492,BAKERY,SUNDAY,-6
3001493,KOREAN_FOOD,MONDAY,1
3001493,KOREAN_FOOD,TUESDAY,1
3001493,KOREAN_FOOD,WEDNESDAY,2
3001493,KOREAN_FOOD,THURSDAY,2
3001493,KOREAN_FOOD,FRIDAY,2
3001493,KOREAN_FOOD,SATURDAY,-3
3001493,KOREAN_FOOD,SUNDAY,-6
3001493,CHINESE_FOOD,MONDAY,3
3001493,CHINESE_FOOD,TUESDAY,3
3001493,CHINESE_FOOD,WEDNESDAY,4
3001493,CHINESE_FOOD,THURSDAY,4
