id,display_name,address,road_address,jibun_address,address_detail,postal_code,sido_name,sigungu_name,dong_name,address_region_code,road_name_code,building_management_number,road_name,underground_yn,building_main_number,building_sub_number,nx,ny
1,강남구청,서울특별시 강남구 학동로 426 (삼성동),서울특별시 강남구 학동로 426,서울특별시 강남구 삼성동 16-1 강남구청,,06090,서울특별시,강남구,삼성동,1168010500,116803122011,1168010500100160001014846,학동로,0,426,0,61,126
2,강동구청,서울특별시 강동구 성내로 25 (성내동),서울특별시 강동구 성내로 25,서울특별시 강동구 성내동 540 강동구청,,05397,서울특별시,강동구,성내동,1174010800,117403124006,1174010800105400000006806,성내로,0,25,0,62,126
3,강북구청,서울특별시 강북구 도봉로89길 13 (수유동),서울특별시 강북구 도봉로89길 13,서울특별시 강북구 수유동 192-59 강북구청,,01071,서울특별시,강북구,수유동,1130510300,113054124142,1130510300101920059006953,도봉로89길,0,13,0,61,128
4,강서구청,서울특별시 강서구 화곡로 302 (화곡동),서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡동 980-16 강서구청,,07658,서울특별시,강서구,화곡동,1150010300,115003005069,1150010300109800016015086,화곡로,0,302,0,58,126
5,관악구청,서울특별시 관악구 관악로 145 (봉천동),서울특별시 관악구 관악로 145,서울특별시 관악구 봉천동 1570-1 관악구청,,08832,서울특별시,관악구,봉천동,1162010100,116203120001,1162010100115700001034673,관악로,0,145,0,59,125
6,광진구청,서울특별시 광진구 자양로 117 (자양동),서울특별시 광진구 자양로 117,서울특별시 광진구 자양동 777,,05026,서울특별시,광진구,자양동,1121510500,112153104010,1121510500107770000014611,자양로,0,117,0,62,126
7,구로구청,서울특별시 구로구 가마산로 245 (구로동),서울특별시 구로구 가마산로 245,서울특별시 구로구 구로동 435 구로구청,,08284,서울특별시,구로구,구로동,1153010200,115303000023,1153010200104350000018884,가마산로,0,245,0,58,125
8,금천구청,서울특별시 금천구 시흥대로73길 70 (시흥동),서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020 금천구청종합청사,,08611,서울특별시,금천구,시흥동,1154510300,115454151335,1154510300110200000000001,시흥대로73길,0,70,0,58,124
9,노원구청,서울특별시 노원구 노해로 437 (상계동),서울특별시 노원구 노해로 437,서울특별시 노원구 상계동 701-1 노원구청,,01689,서울특별시,노원구,상계동,1135010500,113503005047,1135010500107010001001043,노해로,0,437,0,61,129
10,도봉구청,서울특별시 도봉구 마들로 656 (방학동),서울특별시 도봉구 마들로 656,서울특별시 도봉구 방학동 720 도봉구청,,01331,서울특별시,도봉구,방학동,1132010600,113203109006,1132010600107200000004091,마들로,0,656,0,61,129
11,동대문구청,서울특별시 동대문구 천호대로 145 (용두동),서울특별시 동대문구 천호대로 145,서울특별시 동대문구 용두동 39-9 동대문구청,,02565,서울특별시,동대문구,용두동,1123010200,112302000008,1123010200100390009039004,천호대로,0,145,0,61,127
12,동작구청,서울특별시 동작구 장승배기로 161 (노량진동),서울특별시 동작구 장승배기로 161,서울특별시 동작구 노량진동 47-2,,06928,서울특별시,동작구,노량진동,1159010100,115903119008,1159010100100470002030134,장승배기로,0,161,0,59,126
13,마포구청,서울특별시 마포구 월드컵로 212 (성산동),서울특별시 마포구 월드컵로 212,서울특별시 마포구 성산동 370 마포구청,,03937,서울특별시,마포구,성산동,1144012500,114403113018,1144012500103700000029118,월드컵로,0,212,0,58,127
14,서대문구청,서울특별시 서대문구 연희로 248 (연희동),서울특별시 서대문구 연희로 248,서울특별시 서대문구 연희동 168-6 서대문구청,,03718,서울특별시,서대문구,연희동,1141011700,114103112019,1141011700101680006018887,연희로,0,248,0,59,127
15,서초구청,서울특별시 서초구 남부순환로 2584 (서초동),서울특별시 서초구 남부순환로 2584,"서울특별시 서초구 서초동 1376-3 서초구청, 서초구의회",,06750,서울특별시,서초구,서초동,1165010800,116502000003,1165010800113760003000001,남부순환로,0,2584,0,61,125
16,성동구청,서울특별시 성동구 고산자로 270 (행당동),서울특별시 성동구 고산자로 270,서울특별시 성동구 행당동 7 성동구청,,04750,서울특별시,성동구,행당동,1120010700,112003005030,1120010700100070000018898,고산자로,0,270,0,61,127
17,성북구청,서울특별시 성북구 보문로 168 (삼선동5가),서울특별시 성북구 보문로 168,서울특별시 성북구 삼선동5가 411 성북구청,,02848,서울특별시,성북구,삼선동5가,1129011500,112903005003,1129011500104110000000001,보문로,0,168,0,60,127
18,송파구청,서울특별시 송파구 올림픽로 326 (신천동),서울특별시 송파구 올림픽로 326,서울특별시 송파구 신천동 29-5 송파구청,,05552,서울특별시,송파구,신천동,1171010200,117103123023,1171010200100290005000269,올림픽로,0,326,0,62,126
19,양천구청,서울특별시 양천구 목동동로 105 (신정동),서울특별시 양천구 목동동로 105,서울특별시 양천구 신정동 321-4 양천구청,,08095,서울특별시,양천구,신정동,1147010100,114703114001,1147010100103210004000689,목동동로,0,105,0,58,126
20,영등포구청,서울특별시 영등포구 당산로 123 (당산동3가),서울특별시 영등포구 당산로 123,서울특별시 영등포구 당산동3가 385-1 영등포구청,,07260,서울특별시,영등포구,당산동3가,1156011300,115603118004,1156011300103850001029173,당산로,0,123,0,58,126
21,용산구청,서울특별시 용산구 녹사평대로 150 (이태원동),서울특별시 용산구 녹사평대로 150,서울특별시 용산구 이태원동 34-87 용산구종합행정타운,,04390,서울특별시,용산구,이태원동,1117013000,111702005002,1117013000100340087000001,녹사평대로,0,150,0,60,126
22,은평구청,서울특별시 은평구 은평로 195 (녹번동),서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84 은평구청,,03384,서울특별시,은평구,녹번동,1138010200,113803111007,1138010200100840000043532,은평로,0,195,0,59,127
23,종로구청,서울특별시 종로구 종로1길 36 (수송동),서울특별시 종로구 종로1길 36,서울특별시 종로구 수송동 146-12 종로구청,,03152,서울특별시,종로구,수송동,1111012400,111104100312,1111012400101460012014430,종로1길,0,36,0,60,127
24,중구청,서울특별시 중구 창경궁로 17 (예관동),서울특별시 중구 창경궁로 17,서울특별시 중구 예관동 120-1 중구청,,04558,서울특별시,중구,예관동,1114013500,111403005008,1114013500100830015014888,창경궁로,0,17,0,60,127
25,중랑구청,서울특별시 중랑구 봉화산로 179 (신내동),서울특별시 중랑구 봉화산로 179,서울특별시 중랑구 신내동 662 중랑구청,,02043,서울특별시,중랑구,신내동,1126010600,112603106003,1126010600106620000000113,봉화산로,0,179,0,62,128
