business_type,time_band,demand_level
KOREAN_FOOD,TIME_00_06,LOW
KOREAN_FOOD,TIME_06_11,LOW
KOREAN_FOOD,TIME_11_14,VERY_HIGH
KOREAN_FOOD,TIME_14_17,MEDIUM
KOREAN_FOOD,TIME_17_21,HIGH
KOREAN_FOOD,TIME_21_24,MEDIUM
CHINESE_FOOD,TIME_00_06,CLOSED
CHINESE_FOOD,TIME_06_11,CLOSED
CHINESE_FOOD,TIME_11_14,VERY_HIGH
CHINESE_FOOD,TIME_14_17,MEDIUM
CHINESE_FOOD,TIME_17_21,HIGH
CHINESE_FOOD,TIME_21_24,LOW
JAPANESE_FOOD,TIME_00_06,CLOSED
JAPANESE_FOOD,TIME_06_11,CLOSED
JAPANESE_FOOD,TIME_11_14,VERY_HIGH
JAPANESE_FOOD,TIME_14_17,MEDIUM
JAPANESE_FOOD,TIME_17_21,HIGH
JAPANESE_FOOD,TIME_21_24,LOW
WESTERN_FOOD,TIME_00_06,LOW
WESTERN_FOOD,TIME_06_11,CLOSED
WESTERN_FOOD,TIME_11_14,VERY_HIGH
WESTERN_FOOD,TIME_14_17,MEDIUM
WESTERN_FOOD,TIME_17_21,HIGH
WESTERN_FOOD,TIME_21_24,LOW
CHICKEN,TIME_00_06,LOW
CHICKEN,TIME_06_11,CLOSED
CHICKEN,TIME_11_14,LOW
CHICKEN,TIME_14_17,LOW
CHICKEN,TIME_17_21,VERY_HIGH
CHICKEN,TIME_21_24,VERY_HIGH
FAST_FOOD,TIME_00_06,LOW
FAST_FOOD,TIME_06_11,LOW
FAST_FOOD,TIME_11_14,VERY_HIGH
FAST_FOOD,TIME_14_17,HIGH
FAST_FOOD,TIME_17_21,HIGH
FAST_FOOD,TIME_21_24,MEDIUM
BUNSIK,TIME_00_06,CLOSED
BUNSIK,TIME_06_11,LOW
BUNSIK,TIME_11_14,VERY_HIGH
BUNSIK,TIME_14_17,HIGH
BUNSIK,TIME_17_21,HIGH
BUNSIK,TIME_21_24,LOW
CAFE_BEVERAGE,TIME_00_06,CLOSED
CAFE_BEVERAGE,TIME_06_11,MEDIUM
CAFE_BEVERAGE,TIME_11_14,VERY_HIGH
CAFE_BEVERAGE,TIME_14_17,HIGH
CAFE_BEVERAGE,TIME_17_21,MEDIUM
CAFE_BEVERAGE,TIME_21_24,LOW
BAKERY,TIME_00_06,CLOSED
BAKERY,TIME_06_11,MEDIUM
BAKERY,TIME_11_14,HIGH
BAKERY,TIME_14_17,HIGH
BAKERY,TIME_17_21,HIGH
BAKERY,TIME_21_24,LOW
